"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.1663665771484","","","","","","","","","","99.3230972290039","","","","","","","","99.3899993896484","","",
"Afghanistan","AFG","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","11.1428003311157","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.1132202148438","","","","","","","56.2547492980957","","",
"Angola","AGO","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.1821212768555","","","","","","","","","","","","","70.5851287841797","","","","","","",
"Albania","ALB","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4980773925781","","","","","","","99.1213226318359","","","98.8562393188477","99.0201873779297","","","","","","99.629997253418","","",
"Andorra","AND","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","48.9616508483887","49.5528793334961","50.2232284545898","51.0722198486328","52.0484085083008","53.1284408569336","53.690731048584","55.2417106628418","56.7489204406738","58.2531509399414","59.5497894287109","60.9444313049316","62.280158996582","63.7145614624023","65.3722381591797","66.7133865356445","66.02001953125","67.3158569335938","68.5668182373047","70.0182723999023","71.234489440918","72.3277435302734","73.4815673828125","74.5397186279297","75.7371292114258","77.1244812011719","77.2961502075195","78.3489837646484","78.9037475585938","78.3523025512695","79.3382263183594","80.1718826293945","77.1653900146484","77.7475280761719","78.2060470581055","82.4624176025391","83.2402877807617","84.4612274169922","81.1320037841797","83.5296936035156","84.292106628418","80.3505630493164","80.4901809692383","",
"United Arab Emirates","ARE","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","56.276969909668","","","","","","","","","","84.514289855957","","","","","","","","","","","","","","","","","","","","97.0017395019531","","","","","","","","","","99.1100006103516","","","","","",
"Argentina","ARG","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","97.3024826049805","","","","","","","","","","","98.5402069091797","","","","","","","","","","99.1276702880859","","","","","99.5035705566406","","","99.6967315673828","99.5886688232422","99.7114486694336","99.6142807006836","99.5981216430664","99.4023971557617","99.6435012817383","99.6289291381836","","99.7576522827148","","",
"Armenia","ARM","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9105682373047","","","","","","","","","","","","99.8616714477539","","","","","","","","","","99.8761901855469","","","","","","99.8741607666016","","","",
"American Samoa","ASM","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","97.4436492919922","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9014892578125","","","","","","","","99.9889678955078","","99.9457931518555","99.9333267211914","99.9317626953125","99.9176712036133","99.9266967773438","99.9363784790039","99.9201126098633","99.9164810180664","99.9131088256836","","","",
"Burundi","BDI","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","21.4868602752686","","","","","","","","","","","48.0112609863281","","","","","","","","","","70.3653030395508","","","","","","","","57.3210296630859","","","","","","74.9589080810547","","","85.6185531616211","","","",
"Belgium","BEL","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","18.2551803588867","","","","","","","","","","","","","26.6902904510498","","","","","","","","","","33.2379989624023","","","","30.7865505218506","","","","","","40.9383811950684","","","","","","51.9436187744141","","",
"Burkina Faso","BFA","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","6.66406011581421","","","","","","","","","","","","","","","","14.1737499237061","","","","","13.9853401184082","","","","","","","24.8113708496094","","26.4829006195068","26.5341205596924","33.1253204345703","","","","","","","43.9858283996582","","","","54.6699981689453","","",
"Bangladesh","BGD","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","27.1510105133057","","","","","","","","","","37.9897499084473","","","","","","","","","","60.2562294006348","","","","","","67.4885711669922","","","","79.5444869995117","79.3692016601563","86.9257888793945","86.4806671142578","89.5350570678711","93.5353164672852","94.3777618408203","94.9125900268555","96.087760925293","",
"Bulgaria","BGR","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.1097717285156","","","","","","","","","","97.6510620117188","","","","","","","","","",
"Bahrain","BHR","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","82.0774230957031","","","","","","","","","","96.5787734985352","","","","","","","","","","97.2506103515625","","","","","","","","","95.1241836547852","","","","","","98.8502883911133","99.0839309692383","99.3013381958008","","",
"Bahamas, The","BHS","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.7354583740234","","","","","","","","","99.8436279296875","","","","","","","","","","","99.1504364013672","","99.6674728393555","","","","","","","",
"Belarus","BLR","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.800537109375","","","","","","","","","","99.8282089233398","","","","","","","","","","99.8473892211914","","","","","","","","","99.870002746582","","",
"Belize","BLZ","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.0163192749023","","","","","","","","","84.5423431396484","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","75.8401412963867","","","","","","","","","","","","","","","","91.5659790039063","","","","","","","","","96.114616394043","","","","","","99.1445770263672","98.8794097900391","99.0842971801758","","98.7720184326172","98.82861328125","","","99.4042129516602","","","","","",
"Brazil","BRA","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","85.2365493774414","","","","","","","","","","","","","","","","","","","","95.7190170288086","","","","97.9038619995117","","98.3616561889648","98.5594329833984","98.5311126708984","98.6920394897461","98.3187408447266","99.0731506347656","99.0208206176758","99.2297210693359","99.2503128051758","99.3467025756836","99.4553298950195","99.4813385009766","99.4315338134766","","",
"Barbados","BRB","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","99.8000030517578","","","","","","","","","","","","","","99.9000015258789","","","","","","","","","","99.9000015258789","","","","","","","","","","99.9000015258789","","","","","","","","","","99.9000015258789","","","","","","",
"Brunei Darussalam","BRN","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","93.2389221191406","","","","","","","","","","98.0837936401367","","","","","","","","","","98.9121704101563","","","","","","","","","","99.5460586547852","","","","","","","99.7896575927734","","",
"Bhutan","BTN","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.9642562866211","","","","","","","82.1790390014648","","","","","92.8911209106445","","","",
"Botswana","BWA","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.2518768310547","","","","","","","","","","","","95.5960235595703","","","","","","","","","","99.1395416259766","","","","","","","",
"Central African Republic","CAF","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","20.3383598327637","","","","","","","","","","","","","34.851749420166","","","","","","","","","","","","49.0193481445313","","","","","","","","","","26.9713306427002","","","","","","","","28.7066593170166","","",
"Canada","CAN","Literacy rate, youth female (% of females ages 15-24)","SE.ADT.1524.LT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
