"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.8817596435547","","","","","","","","","","98.9657287597656","","","","","","","","99.5999984741211","","",
"Afghanistan","AFG","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","45.7960205078125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.8790702819824","","","","","","","74.0848007202148","","",
"Angola","AGO","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.7769317626953","","","","","","","","","","","","","84.8623809814453","","","","","","",
"Albania","ALB","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.3684616088867","","","","","","","98.5371170043945","","","98.7313613891602","99.3759765625","","","","","","99.0500030517578","","",
"Andorra","AND","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","72.755989074707","72.8713073730469","73.0195770263672","73.317497253418","73.7699890136719","74.3121795654297","75.1661987304688","76.0330200195313","76.8873519897461","77.8305206298828","78.5903091430664","79.3574066162109","80.0608596801758","80.8323593139648","82.1471099853516","82.7938537597656","82.9470901489258","83.4296493530273","83.9224014282227","84.5256423950195","84.9709701538086","85.2425918579102","85.5349731445313","85.7940979003906","86.3257293701172","86.9098968505859","88.4833679199219","88.7394790649414","88.864501953125","86.7423782348633","87.253791809082","87.6951904296875","85.2834701538086","85.4164123535156","85.6227111816406","89.1510391235352","88.8960876464844","89.7658615112305","86.3713531494141","88.5098266601563","88.7943267822266","85.1680908203125","85.1892471313477","",
"United Arab Emirates","ARE","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","65.5117416381836","","","","","","","","","","81.0138320922852","","","","","","","","","","","","","","","","","","","","93.6251525878906","","","","","","","","","","99.6399993896484","","","","","",
"Argentina","ARG","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","96.4592208862305","","","","","","","","","","","98.0654907226563","","","","","","","","","","98.7079010009766","","","","","99.3861389160156","","","99.4749221801758","99.0121994018555","99.5452499389648","99.14453125","99.5103378295898","99.1958694458008","99.4833984375","99.3844833374023","","99.241828918457","","",
"Armenia","ARM","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9093704223633","","","","","","","","","","","","99.7523498535156","","","","","","","","","","99.8184204101563","","","","","","99.8212814331055","","","",
"American Samoa","ASM","Literacy rate, youth male (% of males ages 15-24)","SE.ADT.1524.LT.MA.ZS","","","","","","","","","","","","","","","","","","","","","97.8886184692383","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
